Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
22.6,59.2,30.8,37.0,14.6,2.0,1.01,11.7,284,Good
36.1,70.2,19.1,37.6,27.8,20.7,2.21,3.9,454,Poor
34.9,57.0,10.2,23.2,21.0,5.3,1.59,8.1,612,Moderate
41.4,82.4,12.6,27.3,41.2,9.1,1.91,4.3,471,Poor
25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374,Good
41.4,79.4,28.4,40.4,28.0,17.8,1.15,6.4,538,Moderate
27.3,78.1,8.6,7.8,13.8,5.6,1.06,11.0,447,Good
33.5,110.4,34.0,49.8,30.4,2.6,2.06,4.2,706,Poor
29.0,65.3,3.5,6.1,8.5,2.5,1.13,14.1,319,Good
24.7,87.2,15.5,25.1,33.3,17.7,2.27,5.1,670,Poor
23.6,70.0,15.2,17.8,22.2,5.5,1.11,11.5,482,Good
25.8,68.6,18.1,26.0,25.7,5.7,0.81,10.2,351,Good
20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191,Good
26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,Good
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642,Moderate
35.5,111.3,38.0,50.8,38.4,11.3,2.09,3.2,497,Hazardous
34.4,68.6,14.6,20.6,28.4,6.4,1.36,7.2,412,Moderate
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,Moderate
24.6,89.2,4.1,16.2,32.0,2.6,1.83,3.9,480,Poor
31.3,70.5,13.7,23.4,28.6,10.6,1.69,5.9,647,Moderate
32.0,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325,Moderate
33.3,73.0,7.0,23.0,24.2,6.6,1.83,9.1,734,Moderate
39.0,75.2,23.9,41.7,23.9,12.7,1.91,9.4,812,Poor
15.5,64.8,19.6,23.4,25.5,4.6,0.91,11.1,230,Good
35.5,79.5,19.1,40.9,41.3,5.0,2.0,7.0,650,Poor
33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367,Moderate
22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457,Moderate
24.0,45.3,20.8,25.7,12.9,3.6,0.77,13.4,346,Good
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,215,Good
28.4,57.0,5.6,11.4,23.9,4.4,0.96,11.3,370,Good
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,Good
25.2,75.4,7.6,14.2,30.4,2.9,1.46,6.0,536,Moderate
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,Good
27.1,47.0,1.2,2.7,12.5,4.8,0.96,10.4,591,Good
31.6,82.6,34.2,38.6,20.8,7.6,1.83,10.4,477,Moderate
28.0,45.1,12.5,13.4,26.1,6.5,0.94,10.3,409,Good
24.1,70.9,5.0,9.7,17.4,2.2,0.97,13.7,366,Good
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,Good
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465,Good
25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388,Moderate
44.3,61.7,55.0,66.4,32.7,13.1,1.82,4.1,614,Poor
18.5,54.0,5.2,7.7,22.7,3.9,0.86,14.1,415,Good
23.1,43.9,5.9,8.1,20.4,5.4,1.06,11.1,564,Good
37.2,80.5,35.6,44.6,34.2,24.1,2.17,6.3,607,Poor
41.5,106.1,2.5,16.1,41.6,22.9,2.33,9.7,629,Hazardous
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good
20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475,Good
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,Moderate
31.1,68.6,32.4,43.0,22.2,14.1,2.06,3.9,417,Poor
26.0,88.4,14.3,31.1,35.1,16.7,2.26,3.9,745,Poor
45.0,76.7,15.8,21.9,45.2,24.1,2.91,11.0,808,Hazardous
34.5,78.6,20.7,37.6,26.7,14.1,2.35,4.6,702,Poor
50.1,108.2,43.1,63.3,53.7,15.2,1.94,7.6,722,Hazardous
33.0,87.8,18.1,27.3,19.4,12.2,1.78,5.2,529,Moderate
37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563,Poor
31.0,65.1,7.6,8.9,23.4,4.2,1.11,13.7,580,Good
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate
36.4,115.7,112.5,121.6,33.0,17.2,2.83,3.5,560,Hazardous
21.6,75.4,32.4,44.1,34.8,15.7,1.09,3.5,580,Poor
20.0,74.9,8.2,15.3,21.1,6.2,1.04,11.7,242,Good
24.7,49.4,15.5,21.2,21.7,4.8,0.94,10.6,389,Good
34.4,65.9,44.9,62.7,50.5,9.1,2.37,4.5,574,Hazardous
30.9,62.0,3.5,7.3,31.0,10.4,1.36,5.0,297,Moderate
33.3,54.3,21.3,33.9,23.6,2.9,1.35,5.2,585,Moderate
26.5,60.4,14.5,17.0,23.4,8.0,1.13,12.5,396,Good
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,Hazardous
31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446,Moderate
16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,Good
27.0,84.3,18.2,25.4,15.5,10.9,1.08,5.5,431,Moderate
18.3,70.2,15.9,23.1,18.0,7.4,1.16,10.2,399,Good
28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444,Good
34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526,Moderate
34.4,65.1,48.4,58.5,29.6,7.8,1.27,7.1,435,Moderate
36.0,70.7,69.5,78.1,29.1,16.2,2.28,7.2,420,Poor
31.8,90.8,11.0,19.1,35.1,8.3,2.1,4.2,513,Poor
21.4,60.3,17.6,22.3,15.8,5.7,0.98,11.6,284,Good
33.2,88.1,7.0,16.1,29.8,11.1,1.45,5.1,332,Moderate
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322,Good
31.8,60.1,14.6,27.5,23.3,10.9,1.31,7.9,679,Moderate
24.2,80.6,21.4,29.9,24.5,9.9,1.82,5.9,334,Moderate
27.2,53.8,37.7,44.2,18.2,4.6,0.89,13.7,197,Good
21.7,67.5,35.7,42.5,16.0,4.5,1.16,10.1,231,Good
23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,Moderate
26.4,52.6,4.7,12.5,24.1,5.6,0.91,10.4,500,Good
35.8,87.2,5.2,15.7,45.1,23.3,1.63,4.7,809,Poor
24.5,70.4,2.2,9.0,10.9,5.1,0.94,14.6,228,Good
34.5,60.1,18.8,26.3,27.4,15.4,1.65,5.1,616,Moderate
27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496,Good
21.2,55.0,8.5,13.5,15.8,7.1,1.04,13.0,503,Good
24.6,76.2,19.7,25.0,20.5,9.2,0.95,10.3,400,Good
43.0,64.7,12.3,21.3,29.6,6.6,1.72,7.1,619,Moderate
32.4,62.9,7.7,19.6,28.3,6.7,1.38,9.9,562,Moderate
28.5,87.8,6.0,15.5,35.2,13.1,1.14,5.0,610,Moderate
32.9,63.1,12.1,17.5,24.7,12.3,1.57,5.1,467,Moderate
41.0,67.4,11.3,26.7,28.3,21.9,2.04,5.5,493,Poor
32.3,77.3,28.8,54.3,21.8,11.2,2.21,5.0,478,Poor
28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384,Good
34.5,105.1,7.5,31.7,54.9,18.4,2.99,5.2,561,Hazardous
26.3,69.2,84.0,93.8,21.7,4.8,1.46,6.5,404,Moderate
40.0,68.1,31.6,45.7,38.1,14.4,2.17,4.0,596,Poor
23.4,50.1,17.0,23.4,28.5,10.6,0.89,10.2,200,Good
31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,Moderate
18.4,60.6,3.0,8.4,16.6,7.3,1.04,10.2,444,Good
39.7,85.9,67.6,88.8,21.3,22.3,1.9,4.5,616,Poor
31.9,73.3,11.1,21.8,15.1,7.2,1.54,7.4,543,Moderate
39.6,96.2,47.1,65.4,35.8,17.1,2.03,5.2,661,Poor
35.7,82.0,40.5,57.9,25.3,13.6,2.14,7.7,614,Poor
31.8,78.6,104.1,114.7,51.4,20.6,2.64,7.5,853,Hazardous
28.2,71.7,75.2,90.0,30.8,5.0,1.81,4.8,765,Poor
34.4,86.5,52.9,63.7,25.5,8.0,1.78,7.6,375,Moderate
47.0,66.5,44.2,78.1,46.5,20.9,1.91,5.4,673,Hazardous
26.7,68.4,2.8,10.4,24.4,2.3,1.12,11.6,545,Good
47.0,63.5,82.5,101.4,41.3,24.7,2.46,2.9,582,Hazardous
30.1,86.2,18.7,27.7,33.4,9.3,1.57,5.0,479,Moderate
26.4,76.0,16.0,32.9,31.8,10.6,2.15,4.8,548,Poor
25.1,71.1,7.3,11.3,17.9,4.8,1.0,13.4,283,Good
29.2,77.7,35.4,36.1,37.1,17.9,2.24,6.6,571,Poor
29.2,54.5,15.8,18.0,12.2,6.4,1.15,13.2,498,Good
57.2,80.2,47.4,56.9,43.2,24.8,2.26,3.0,876,Hazardous
49.8,79.3,40.0,59.0,19.9,19.0,2.41,4.1,829,Hazardous
25.2,90.6,16.8,27.6,20.8,16.1,1.39,5.0,381,Moderate
40.6,74.1,116.0,126.7,45.5,25.7,2.11,2.8,765,Hazardous
34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,Moderate
30.1,71.8,6.7,24.3,28.7,12.4,1.34,6.9,571,Moderate
26.8,66.2,4.6,10.8,18.0,3.5,0.96,12.9,422,Good
36.3,88.7,13.5,25.7,29.9,6.7,2.02,4.8,739,Poor
26.4,74.6,73.9,86.5,24.4,7.0,1.65,5.1,603,Moderate
29.2,54.0,2.5,8.7,27.7,10.5,1.4,5.7,327,Moderate
32.0,71.7,7.6,19.2,22.9,10.4,1.28,5.4,560,Moderate
35.4,120.5,47.7,61.2,49.3,24.2,2.36,5.2,662,Hazardous
35.0,80.4,6.7,30.2,48.4,14.5,1.96,5.2,747,Poor
30.1,72.9,0.0,5.9,26.5,8.1,1.21,13.0,569,Moderate
27.2,82.5,18.7,37.1,32.5,14.5,1.96,4.5,544,Poor
34.1,61.4,6.8,16.3,41.3,15.3,1.57,7.3,624,Moderate
32.2,66.6,8.3,19.7,23.5,13.2,1.08,5.6,382,Moderate
23.2,40.3,2.3,8.9,19.5,5.7,0.89,11.1,255,Good
29.6,54.1,9.8,20.3,28.7,15.3,1.39,9.8,690,Moderate
27.3,74.8,10.3,10.9,14.2,6.3,1.04,18.7,577,Good
27.5,56.7,7.0,15.8,18.5,0.8,1.09,18.1,406,Good
19.4,54.5,15.7,33.5,19.9,11.7,1.79,5.3,362,Moderate
23.4,72.5,12.1,19.8,18.6,4.4,1.01,18.2,578,Good
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,Moderate
27.8,85.9,24.2,35.3,28.1,8.0,1.31,8.5,497,Moderate
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,Good
51.3,58.0,31.2,48.3,34.3,11.5,3.32,2.6,538,Hazardous
22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459,Good
33.3,94.3,37.2,41.0,35.3,11.8,2.33,8.5,770,Poor
24.0,79.3,6.2,13.3,22.0,6.6,0.9,10.5,579,Good
31.2,60.4,2.5,5.5,22.1,15.1,2.06,3.6,732,Poor
34.1,90.5,14.3,17.4,19.6,6.4,1.59,7.0,494,Moderate
30.0,67.1,2.2,7.8,39.2,17.0,2.0,5.2,793,Poor
28.2,86.1,47.1,62.3,36.7,11.3,1.81,7.5,551,Poor
33.4,76.3,3.2,7.9,23.7,3.8,1.89,8.2,388,Moderate
30.1,51.5,9.4,14.9,13.8,2.0,0.97,10.2,240,Good
45.8,124.7,38.3,42.9,40.7,44.9,2.01,4.9,829,Hazardous
24.8,76.1,0.8,9.4,15.0,1.9,0.86,10.8,458,Good
26.8,76.2,48.1,54.3,24.5,4.6,1.58,7.5,451,Moderate
27.4,57.4,2.5,17.0,35.5,10.3,1.63,6.1,365,Moderate
40.0,84.5,41.1,57.1,41.8,16.9,1.83,5.4,578,Poor
24.0,68.7,18.6,31.1,30.6,7.3,1.44,6.0,588,Moderate
30.6,72.5,7.3,12.3,28.1,10.0,1.68,5.4,555,Moderate
30.3,82.2,64.0,77.0,25.2,9.1,1.16,6.1,338,Moderate
24.9,64.5,14.8,20.2,13.2,6.4,1.11,11.5,609,Good
29.2,73.0,26.4,30.5,9.3,4.1,1.14,11.2,350,Good
36.7,99.0,4.2,19.4,32.1,18.7,2.38,3.9,675,Poor
29.4,63.7,79.7,93.1,26.2,12.2,1.56,5.4,326,Moderate
20.9,68.0,3.3,8.8,21.9,4.1,1.08,10.5,538,Good
38.3,107.8,39.3,60.8,32.3,29.0,2.61,6.8,462,Hazardous
28.5,44.0,1.3,3.1,15.1,5.0,0.83,19.2,405,Good
34.3,70.1,0.5,19.9,32.1,14.8,2.04,5.0,551,Poor
29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,Moderate
38.6,111.4,9.9,20.0,36.3,22.5,1.74,7.5,591,Poor
23.3,48.6,18.3,24.0,20.1,5.1,1.14,10.2,263,Good
23.6,67.8,3.9,5.1,23.3,5.0,1.01,10.4,461,Good
25.5,74.9,42.2,46.7,19.0,3.0,0.94,11.9,421,Good
28.3,76.4,23.2,25.7,21.5,10.9,2.08,6.4,501,Moderate
28.4,71.7,13.3,15.0,16.8,8.2,1.11,11.4,360,Good
26.4,64.0,25.7,31.6,32.1,12.5,1.64,10.0,589,Moderate
24.7,70.3,3.6,11.7,17.6,5.1,0.91,12.5,494,Good
22.3,73.0,0.1,8.4,20.7,3.6,1.18,10.3,471,Good
29.2,51.8,0.3,4.6,16.6,6.5,0.89,14.2,291,Good
28.8,58.0,6.3,36.4,42.2,1.9,2.43,3.5,505,Poor
20.8,61.9,3.0,9.6,14.8,8.5,1.06,11.3,491,Good
25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486,Good
33.7,59.5,13.7,21.5,19.6,2.3,1.02,11.7,511,Good
54.6,90.7,48.9,62.9,30.1,11.5,2.74,3.7,617,Hazardous
37.9,84.7,8.4,38.0,48.7,3.4,2.05,3.8,729,Hazardous
22.2,69.7,19.1,21.7,25.0,9.2,1.15,12.5,595,Good
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,Poor
21.2,59.5,6.5,9.8,22.9,5.0,1.09,10.5,595,Good
34.5,77.7,6.2,7.1,25.6,8.9,1.71,8.1,500,Moderate
34.8,61.8,6.8,15.5,23.5,9.6,1.47,6.0,404,Moderate
27.4,51.0,7.0,16.8,26.9,4.6,1.55,11.6,436,Moderate
49.8,79.2,70.1,82.7,50.3,20.6,1.91,5.2,617,Poor
34.1,62.3,130.0,137.4,33.6,7.1,2.04,4.1,442,Poor
24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,Good
43.3,69.3,6.6,19.3,34.3,11.3,1.99,4.3,500,Poor
47.3,98.9,5.5,30.3,39.6,11.2,2.56,3.0,604,Hazardous
45.4,104.0,25.0,22.8,36.7,24.0,2.5,10.5,467,Poor
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,Moderate
21.9,69.6,7.1,9.6,24.7,2.6,1.11,12.7,423,Good
33.4,86.5,169.2,194.7,48.7,4.6,2.36,6.5,737,Poor
27.1,57.1,14.0,31.6,33.8,7.6,1.91,5.2,452,Moderate
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,Moderate
31.7,72.8,9.1,18.7,25.8,6.4,1.53,5.6,549,Moderate
22.8,67.9,66.8,79.8,28.3,4.3,1.17,5.9,397,Moderate
31.3,86.0,60.5,65.1,29.3,1.7,1.68,7.8,655,Moderate
27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,Moderate
33.0,79.0,1.0,23.0,37.8,19.9,1.84,6.8,651,Poor
28.4,45.1,9.7,15.9,23.0,6.5,0.99,12.6,303,Good
35.9,67.9,10.6,19.3,31.8,10.9,1.36,8.2,383,Moderate
27.2,79.2,56.0,59.4,20.1,5.0,1.94,5.7,541,Moderate
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,Moderate
37.3,68.2,4.3,20.8,40.3,20.0,2.01,5.4,681,Poor
32.9,97.0,10.0,32.7,39.7,12.4,2.24,4.3,640,Hazardous
34.7,86.9,8.1,41.3,34.5,35.7,3.35,2.7,673,Hazardous
21.9,71.4,15.0,19.3,18.2,1.6,1.0,18.8,505,Good
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,Good
29.4,85.8,90.1,94.2,30.5,10.7,1.35,5.6,366,Moderate
32.5,97.5,77.0,99.1,54.5,26.1,1.82,2.7,555,Hazardous
37.5,38.8,42.3,57.3,24.6,17.1,1.58,8.8,377,Moderate
30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217,Good
32.8,71.6,23.3,30.3,23.4,16.8,1.75,7.4,632,Moderate
34.0,75.2,46.0,57.2,45.5,15.4,3.34,6.3,601,Hazardous
34.2,97.3,15.2,26.6,30.9,11.0,1.74,7.1,681,Poor
24.8,47.8,37.0,40.9,19.6,6.1,0.93,14.2,557,Good
31.0,77.2,42.9,56.6,29.3,9.2,1.4,6.7,611,Moderate
25.7,67.7,43.0,52.4,22.5,7.2,1.35,6.0,415,Moderate
23.2,72.9,29.3,39.3,20.6,7.2,1.36,5.4,299,Moderate
23.9,56.6,43.9,53.1,16.5,7.1,1.13,10.8,520,Good
31.4,69.4,11.1,28.2,27.4,17.7,2.02,5.8,400,Poor
32.2,65.2,28.8,37.0,26.6,10.4,1.72,7.0,538,Moderate
40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824,Poor
28.0,71.0,26.7,28.4,19.4,6.0,1.07,11.1,233,Good
23.9,79.6,28.7,32.2,18.7,3.0,1.1,12.0,454,Good
30.7,50.1,23.6,44.2,28.9,12.7,1.56,6.4,659,Moderate
30.6,107.4,35.4,53.4,31.2,23.4,1.73,5.6,631,Poor
28.2,60.6,14.5,19.4,23.0,6.0,1.16,14.3,360,Good
31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,Moderate
21.3,75.7,28.7,33.5,14.8,3.2,1.1,11.4,243,Good
31.5,70.3,19.9,38.8,21.8,6.3,1.95,6.3,707,Poor
32.9,84.6,4.3,1.9,29.8,3.9,1.87,4.0,723,Poor
25.8,51.5,20.0,30.5,16.5,7.4,0.9,10.6,520,Good
26.7,77.9,24.2,26.6,21.2,4.9,1.13,10.8,352,Good
30.4,103.6,17.5,40.4,24.1,-6.2,2.21,7.3,521,Poor
34.5,62.3,12.9,27.6,27.3,7.7,1.58,6.7,474,Moderate
23.1,60.0,86.4,95.6,28.8,7.9,1.11,5.5,506,Moderate
27.3,62.8,2.4,5.1,14.2,2.7,1.02,10.6,538,Good
32.9,56.0,6.0,15.9,21.0,12.3,1.78,6.4,434,Moderate
40.6,76.8,39.2,60.7,33.0,18.6,1.85,3.4,686,Poor
30.0,59.7,59.3,68.8,22.1,7.4,1.39,5.1,412,Moderate
48.9,62.0,12.2,35.7,45.4,22.7,2.27,2.7,865,Hazardous
35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,Moderate
43.0,114.3,42.4,61.6,30.4,11.7,2.51,3.5,567,Hazardous
24.6,46.5,5.9,13.0,14.2,6.7,0.96,10.5,547,Good
19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,Good
37.0,86.3,81.3,110.8,41.3,16.2,2.97,2.5,841,Hazardous
22.1,46.7,0.8,6.3,26.0,3.1,0.98,10.0,469,Good
30.9,74.6,24.0,28.9,23.6,7.7,1.01,10.7,217,Good
36.0,95.2,7.0,21.6,36.2,13.8,1.75,4.5,564,Poor
29.3,86.8,62.8,74.6,23.6,13.1,1.62,5.1,564,Moderate
23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345,Moderate
41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815,Hazardous
26.8,60.5,1.3,9.1,16.4,4.6,0.94,11.5,359,Good
26.2,54.4,21.0,22.0,26.8,6.1,0.88,10.4,377,Good
28.6,88.5,0.4,11.6,20.1,16.8,1.93,8.8,657,Moderate
21.9,71.1,36.9,36.2,33.3,9.6,1.67,5.6,594,Moderate
28.0,67.3,116.2,126.2,26.6,4.8,1.32,5.7,307,Moderate
31.8,83.5,29.7,38.8,25.9,9.4,1.36,5.7,588,Moderate
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,Good
37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,Poor
26.2,70.8,6.5,12.7,19.0,2.6,1.01,12.2,263,Good
28.3,76.6,10.3,17.8,37.4,5.2,1.38,7.1,540,Moderate
19.5,48.2,1.0,7.4,18.7,6.8,0.92,10.7,305,Good
23.5,51.6,0.0,8.3,23.5,7.4,0.92,19.7,450,Good
25.9,71.3,2.5,4.7,13.3,3.9,1.09,15.4,229,Good
30.2,74.5,18.3,25.0,23.3,4.2,0.87,12.0,499,Good
40.1,58.4,5.0,13.4,27.5,10.3,1.91,4.7,616,Poor
24.0,64.1,21.4,27.3,22.6,5.7,0.94,10.3,296,Good
40.1,93.5,51.1,54.6,27.7,13.8,2.16,8.4,400,Poor
21.8,43.0,13.5,17.0,12.5,2.5,0.99,13.0,623,Good
29.4,72.7,24.7,28.4,12.0,2.9,1.16,12.1,204,Good
31.9,78.1,16.7,30.3,29.4,9.0,1.76,5.3,671,Moderate
20.1,64.4,1.5,8.0,14.0,7.6,0.85,10.8,512,Good
32.2,63.2,0.9,8.3,22.3,5.7,1.44,5.8,504,Moderate
30.0,86.0,8.3,20.4,21.4,10.2,1.59,7.2,733,Moderate
30.4,60.3,11.3,11.9,24.9,3.7,1.44,6.7,635,Moderate
32.5,81.1,80.1,100.2,28.8,0.5,1.92,10.1,612,Poor
36.4,58.0,18.3,23.6,30.5,13.7,1.49,5.1,363,Moderate
36.0,70.9,67.7,75.3,24.9,24.7,2.13,8.3,458,Poor
28.6,50.1,3.2,15.6,26.6,4.9,1.6,5.5,566,Moderate
28.4,76.2,16.8,28.7,30.0,8.2,1.64,5.7,644,Moderate
26.0,85.9,0.6,12.5,25.0,6.1,2.0,6.5,544,Moderate
20.2,76.5,9.5,13.9,14.3,4.4,0.89,11.1,471,Good
31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571,Moderate
37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528,Hazardous
31.2,75.5,30.5,37.8,32.7,8.6,1.79,6.0,608,Moderate
25.4,72.7,11.9,15.3,20.6,8.3,1.46,6.8,503,Moderate
44.4,70.0,7.1,19.5,23.3,11.6,1.71,5.1,762,Poor
